application_id,credit_score,annual_income,loan_amount,loan_purpose,employment_years,debt_to_income,approved,interest_rate,default_flag,origination_date
APP_000001,672,57520.86,7923.95,debt_consolidation,6.2,0.2345,1,7.53,0,2023-05-26
APP_000002,726,90424.12,4364.59,debt_consolidation,1.7,0.2519,1,7.5,0,2023-04-08
APP_000003,684,47150.12,5357.73,personal,4.7,0.3223,1,8.04,0,2025-02-27
APP_000004,578,27303.03,7689.9,business,1.1,0.3151,0,10.53,0,2025-04-04
APP_000005,583,33904.55,13336.36,personal,4.0,0.4663,0,10.18,0,2024-10-15
APP_000006,551,63154.41,11704.2,home_improvement,6.8,0.3839,1,9.83,1,2026-03-23
APP_000007,676,46132.83,2046.51,home_improvement,21.5,0.1827,1,8.15,0,2024-07-07
APP_000008,739,30559.78,7004.85,debt_consolidation,4.0,0.1274,1,7.67,0,2025-10-20
APP_000009,707,87408.71,8304.36,debt_consolidation,1.1,0.18,1,8.29,0,2024-01-03
APP_000010,651,59167.96,11494.71,home_improvement,3.8,0.3732,1,8.33,0,2025-11-08
APP_000011,500,31528.92,9075.53,debt_consolidation,3.0,0.42,0,10.86,0,2025-02-19
APP_000012,741,109796.74,1818.35,debt_consolidation,6.3,0.2609,1,8.59,0,2024-11-26
APP_000013,729,42124.56,10388.67,personal,7.6,0.4974,0,7.67,0,2025-01-17
APP_000014,647,60576.58,2487.61,debt_consolidation,24.1,0.3541,1,9.28,1,2025-12-15
APP_000015,762,19721.0,6124.74,home_improvement,3.0,0.3101,1,7.9,0,2024-06-01
APP_000016,791,57176.25,5832.25,auto,0.9,0.1835,1,7.57,0,2024-08-14
APP_000017,692,108916.14,5712.66,personal,2.4,0.4391,1,8.44,0,2025-01-30
APP_000018,730,87084.73,6836.41,personal,1.9,0.3996,1,7.74,0,2025-07-06
APP_000019,694,84217.28,4585.88,auto,4.9,0.2904,1,7.36,1,2025-06-27
APP_000020,664,23308.25,11823.97,home_improvement,4.8,0.3755,1,8.86,0,2023-08-27
APP_000021,548,68009.74,6980.95,business,3.0,0.5673,0,9.48,0,2024-07-22
APP_000022,724,124683.49,9883.42,personal,8.1,0.0745,1,9.0,0,2025-10-12
APP_000023,658,139902.8,7413.78,home_improvement,0.7,0.2753,1,8.75,1,2023-07-28
APP_000024,682,53707.15,4387.59,debt_consolidation,1.9,0.4598,0,9.37,0,2024-04-09
APP_000025,707,75253.75,13058.06,business,1.7,0.18,0,7.72,0,2023-09-09
APP_000026,599,75084.92,1895.08,personal,2.5,0.3736,0,9.37,0,2024-11-29
APP_000027,522,60835.68,9244.44,home_improvement,3.2,0.411,0,10.96,0,2026-01-25
APP_000028,666,222769.8,22681.23,auto,0.9,0.4371,1,9.38,0,2026-03-13
APP_000029,815,95064.65,6356.0,business,11.8,0.2421,1,8.19,0,2024-10-03
