session_id,user_id,date,step_1_viewed,step_2_details,step_3_payment,step_4_confirm,step_5_complete,variant,converted,revenue,drop_step
SES_0000001,USR_08436,2025-04-12,1,1,1,1,1,B,1,144.88,
SES_0000002,USR_04290,2025-05-01,1,1,1,1,1,B,1,51.03,
SES_0000003,USR_00277,2025-04-18,1,1,1,1,1,A,1,66.39,
SES_0000004,USR_05985,2025-04-23,1,0,0,0,0,B,0,0.0,2.0
SES_0000005,USR_02343,2026-01-31,1,1,1,1,1,A,1,99.97,
SES_0000006,USR_06076,2025-05-29,1,1,1,1,1,B,1,52.04,
SES_0000007,USR_04583,2025-06-14,1,1,1,1,1,B,1,241.89,
SES_0000008,USR_09643,2025-06-30,1,0,0,0,0,A,0,0.0,2.0
SES_0000009,USR_09055,2025-08-15,1,1,1,1,1,A,1,34.06,
SES_0000010,USR_03299,2026-01-11,1,1,1,1,1,A,1,92.8,
SES_0000011,USR_01415,2025-04-07,1,1,0,0,0,B,0,0.0,3.0
SES_0000012,USR_05095,2025-10-05,1,0,0,0,0,A,0,0.0,2.0
SES_0000013,USR_03722,2025-10-29,1,1,0,0,0,B,0,0.0,3.0
SES_0000014,USR_01038,2025-03-25,1,1,0,0,0,A,0,0.0,3.0
SES_0000015,USR_01016,2025-04-23,1,1,1,1,1,A,1,37.48,
SES_0000016,USR_08454,2025-05-06,1,0,0,0,0,A,0,0.0,2.0
SES_0000017,USR_05238,2025-05-07,1,1,1,1,1,B,1,24.5,
SES_0000018,USR_07823,2026-02-08,1,1,1,0,0,A,0,0.0,4.0
SES_0000019,USR_08210,2025-11-12,1,1,1,1,1,B,1,157.73,
SES_0000020,USR_04359,2025-11-22,1,1,0,0,0,B,0,0.0,3.0
SES_0000021,USR_03403,2025-05-01,1,1,1,1,0,A,0,0.0,5.0
SES_0000022,USR_08488,2025-12-29,1,1,1,0,0,A,0,0.0,4.0
SES_0000023,USR_04872,2026-03-16,1,0,0,0,0,A,0,0.0,2.0
SES_0000024,USR_04431,2025-04-14,1,0,0,0,0,B,0,0.0,2.0
SES_0000025,USR_01417,2026-02-28,1,1,1,0,0,B,0,0.0,4.0
SES_0000026,USR_01841,2026-02-08,1,1,1,1,1,B,1,116.99,
SES_0000027,USR_08021,2025-08-22,1,1,1,1,0,A,0,0.0,5.0
SES_0000028,USR_01280,2025-10-01,1,0,0,0,0,B,0,0.0,2.0
SES_0000029,USR_08952,2025-08-13,1,1,1,1,1,B,1,204.86,
SES_0000030,USR_06323,2025-12-12,1,1,1,1,1,A,1,82.16,
SES_0000031,USR_01048,2025-06-21,1,1,1,1,1,A,1,31.15,
SES_0000032,USR_06490,2025-08-30,1,1,1,1,1,B,1,112.63,
SES_0000033,USR_01460,2025-11-22,1,1,1,1,1,B,1,233.15,
SES_0000034,USR_01808,2025-10-28,1,1,1,1,0,A,0,0.0,5.0
SES_0000035,USR_03271,2025-04-04,1,1,1,1,1,B,1,52.69,
SES_0000036,USR_02744,2026-01-20,1,1,1,1,1,B,1,145.63,
SES_0000037,USR_03431,2026-03-11,1,1,1,1,1,B,1,119.24,
SES_0000038,USR_08060,2025-07-01,1,1,1,1,1,B,1,76.92,
SES_0000039,USR_05985,2025-11-30,1,1,1,1,1,B,1,214.78,
SES_0000040,USR_06079,2025-10-29,1,1,1,1,1,B,1,36.52,
SES_0000041,USR_08484,2026-01-15,1,0,0,0,0,B,0,0.0,2.0
SES_0000042,USR_07387,2025-11-08,1,1,1,1,1,A,1,46.08,
SES_0000043,USR_07542,2025-05-25,1,1,1,0,0,B,0,0.0,4.0
SES_0000044,USR_08887,2025-05-29,1,1,0,0,0,A,0,0.0,3.0
SES_0000045,USR_01109,2025-05-12,1,1,0,0,0,B,0,0.0,3.0
SES_0000046,USR_02863,2025-05-04,1,1,1,1,1,A,1,125.52,
SES_0000047,USR_07051,2026-01-15,1,0,0,0,0,A,0,0.0,2.0
SES_0000048,USR_08045,2025-07-18,1,0,0,0,0,A,0,0.0,2.0
SES_0000049,USR_07965,2025-07-28,1,0,0,0,0,A,0,0.0,2.0
SES_0000050,USR_06654,2025-08-26,1,1,0,0,0,B,0,0.0,3.0
SES_0000051,USR_08726,2025-08-24,1,1,1,1,1,B,1,137.03,
SES_0000052,USR_06149,2025-10-18,1,0,0,0,0,A,0,0.0,2.0
SES_0000053,USR_07221,2025-10-24,1,1,0,0,0,B,0,0.0,3.0
SES_0000054,USR_01728,2025-09-26,1,0,0,0,0,A,0,0.0,2.0
SES_0000055,USR_08118,2025-08-31,1,1,1,0,0,A,0,0.0,4.0
SES_0000056,USR_04537,2025-12-31,1,0,0,0,0,B,0,0.0,2.0
SES_0000057,USR_01371,2025-05-27,1,1,1,1,1,B,1,50.56,
SES_0000058,USR_08418,2026-01-07,1,1,1,1,1,B,1,61.69,
SES_0000059,USR_07310,2026-03-08,1,0,0,0,0,B,0,0.0,2.0
SES_0000060,USR_01181,2025-12-24,1,1,0,0,0,A,0,0.0,3.0
SES_0000061,USR_02391,2026-01-28,1,1,1,1,1,A,1,169.85,
SES_0000062,USR_07617,2026-01-14,1,1,1,1,1,A,1,96.46,
SES_0000063,USR_09274,2025-05-05,1,1,1,1,1,A,1,310.52,
SES_0000064,USR_02604,2025-04-25,1,1,1,0,0,B,0,0.0,4.0
SES_0000065,USR_07586,2025-09-06,1,1,1,1,1,A,1,41.92,
SES_0000066,USR_07822,2025-07-30,1,1,1,1,1,A,1,72.79,
SES_0000067,USR_07116,2025-05-18,1,1,0,0,0,B,0,0.0,3.0
SES_0000068,USR_02060,2025-07-28,1,1,1,1,1,B,1,57.18,
SES_0000069,USR_03535,2025-08-30,1,1,1,1,1,A,1,251.14,
SES_0000070,USR_04310,2025-05-29,1,1,1,1,1,B,1,82.16,
SES_0000071,USR_05814,2026-02-05,1,0,0,0,0,A,0,0.0,2.0
SES_0000072,USR_09790,2025-12-21,1,1,0,0,0,A,0,0.0,3.0
SES_0000073,USR_02594,2025-07-06,1,1,1,1,1,B,1,89.25,
SES_0000074,USR_09456,2025-05-05,1,1,0,0,0,B,0,0.0,3.0
SES_0000075,USR_04466,2025-12-30,1,1,0,0,0,B,0,0.0,3.0
SES_0000076,USR_00267,2025-11-08,1,0,0,0,0,B,0,0.0,2.0
SES_0000077,USR_01951,2025-08-25,1,1,0,0,0,B,0,0.0,3.0
SES_0000078,USR_08906,2025-12-05,1,1,1,1,1,A,1,97.16,
SES_0000079,USR_02507,2025-04-06,1,0,0,0,0,B,0,0.0,2.0
SES_0000080,USR_01443,2025-05-11,1,0,0,0,0,A,0,0.0,2.0
SES_0000081,USR_06650,2025-07-21,1,1,0,0,0,B,0,0.0,3.0
SES_0000082,USR_04204,2025-03-28,1,1,1,1,1,A,1,25.98,
SES_0000083,USR_01610,2025-09-27,1,1,1,1,1,A,1,21.06,
SES_0000084,USR_07531,2025-06-01,1,1,0,0,0,A,0,0.0,3.0
SES_0000085,USR_08296,2025-04-22,1,1,1,1,0,B,0,0.0,5.0
SES_0000086,USR_00121,2025-07-23,1,1,1,1,0,B,0,0.0,5.0
SES_0000087,USR_00561,2025-05-28,1,0,0,0,0,A,0,0.0,2.0
SES_0000088,USR_08829,2026-02-12,1,1,1,0,0,B,0,0.0,4.0
SES_0000089,USR_04229,2025-05-08,1,1,0,0,0,B,0,0.0,3.0
SES_0000090,USR_00379,2025-05-05,1,1,1,1,0,B,0,0.0,5.0
SES_0000091,USR_05157,2025-10-17,1,1,1,1,1,B,1,74.46,
SES_0000092,USR_06095,2025-04-13,1,1,1,1,0,A,0,0.0,5.0
SES_0000093,USR_02973,2025-09-26,1,1,1,1,0,B,0,0.0,5.0
SES_0000094,USR_01284,2026-01-25,1,1,0,0,0,A,0,0.0,3.0
SES_0000095,USR_01648,2025-09-16,1,1,0,0,0,A,0,0.0,3.0
SES_0000096,USR_07207,2026-02-13,1,1,1,1,1,A,1,106.81,
SES_0000097,USR_09095,2025-05-11,1,1,1,1,1,B,1,209.43,
SES_0000098,USR_04232,2025-05-21,1,0,0,0,0,B,0,0.0,2.0
SES_0000099,USR_08509,2025-05-20,1,0,0,0,0,B,0,0.0,2.0
SES_0000100,USR_07793,2025-09-22,1,1,1,1,0,B,0,0.0,5.0
