ticker,date,open,high,low,close,volume,adj_close
SQ,2024-03-25,70.53,73.57,70.53,73.18,1150907,73.18
SQ,2024-03-26,73.14,73.14,71.0,72.15,2746673,72.15
SQ,2024-03-27,72.19,72.95,70.56,71.89,1026635,71.89
SQ,2024-03-28,72.48,74.59,72.48,73.5,2064837,73.5
SQ,2024-03-29,73.33,74.59,73.0,74.45,1463787,74.45
SQ,2024-04-01,75.27,76.06,73.98,74.87,1170904,74.87
SQ,2024-04-02,74.62,76.7,74.62,76.28,1561184,76.28
SQ,2024-04-03,76.49,80.43,76.49,80.4,4889296,80.4
SQ,2024-04-04,81.06,82.01,80.66,81.55,1486967,81.55
SQ,2024-04-05,81.61,81.61,78.8,78.96,2111775,78.96
SQ,2024-04-08,78.77,84.35,78.77,83.34,4309146,83.34
SQ,2024-04-09,83.43,85.14,83.43,84.65,3285109,84.65
SQ,2024-04-10,84.73,84.73,83.99,84.13,2177030,84.13
SQ,2024-04-11,84.21,85.02,84.21,84.69,3253767,84.69
SQ,2024-04-12,85.19,85.19,83.07,83.85,1465807,83.85
SQ,2024-04-15,84.18,84.18,82.04,82.62,958332,82.62
SQ,2024-04-16,82.59,82.59,79.48,80.15,3950005,80.15
SQ,2024-04-17,79.48,79.48,76.81,77.08,1399068,77.08
SQ,2024-04-18,78.03,78.03,76.89,77.34,738988,77.34
SQ,2024-04-19,76.72,80.05,76.72,79.81,3088225,79.81
SQ,2024-04-22,80.01,80.32,79.97,80.12,3283912,80.12
SQ,2024-04-23,80.87,80.87,79.48,79.62,1334848,79.62
SQ,2024-04-24,79.78,80.03,78.91,79.52,1906957,79.52
SQ,2024-04-25,79.24,81.19,78.94,79.41,2042543,79.41
SQ,2024-04-26,80.04,80.04,78.29,78.32,914500,78.32
SQ,2024-04-29,77.56,77.72,77.13,77.36,1563769,77.36
SQ,2024-04-30,77.23,78.97,77.23,77.9,548822,77.9
SQ,2024-05-01,77.91,77.91,75.21,75.4,2199586,75.4
SQ,2024-05-02,75.03,75.03,73.47,74.1,5259929,74.1
SQ,2024-05-03,74.13,75.84,74.13,74.9,375966,74.9
SQ,2024-05-06,74.99,75.91,74.12,74.92,2038445,74.92
SQ,2024-05-07,74.84,75.57,74.68,75.09,913304,75.09
SQ,2024-05-08,74.7,74.7,74.06,74.15,1452443,74.15
SQ,2024-05-09,73.58,76.17,73.58,76.07,2560251,76.07
SQ,2024-05-10,75.36,76.28,75.14,76.01,4896215,76.01
SQ,2024-05-13,76.3,76.43,74.26,75.52,1208648,75.52
SQ,2024-05-14,75.1,76.36,75.1,75.87,3343615,75.87
SQ,2024-05-15,75.78,76.92,75.78,76.87,2119299,76.87
SQ,2024-05-16,77.28,78.18,77.28,78.05,3121403,78.05
SQ,2024-05-17,78.22,78.44,77.36,77.77,1910456,77.77
SQ,2024-05-20,78.3,78.74,78.3,78.47,1393681,78.47
SQ,2024-05-21,78.18,81.44,78.18,81.37,1592649,81.37
SQ,2024-05-22,81.93,82.65,80.43,82.17,4599377,82.17
SQ,2024-05-23,82.29,85.2,82.29,84.04,3168877,84.04
SQ,2024-05-24,84.43,85.48,83.8,84.94,1633201,84.94
SQ,2024-05-27,84.74,88.07,84.74,87.0,3060694,87.0
SQ,2024-05-28,87.08,87.08,85.79,86.79,1812441,86.79
SQ,2024-05-29,86.73,87.07,86.73,86.89,1200969,86.89
SQ,2024-05-30,86.18,89.94,86.18,89.48,1308285,89.48
SQ,2024-05-31,90.15,91.79,89.67,90.75,2168848,90.75
SQ,2024-06-03,90.49,92.56,90.49,91.88,589510,91.88
SQ,2024-06-04,92.36,95.02,92.36,93.69,807372,93.69
SQ,2024-06-05,92.94,95.96,92.94,95.28,3010491,95.28
SQ,2024-06-06,95.4,99.4,95.4,98.77,4422758,98.77
SQ,2024-06-07,98.52,98.52,95.18,95.88,903559,95.88
SQ,2024-06-10,95.06,96.05,95.06,95.77,4367497,95.77
SQ,2024-06-11,96.72,96.86,94.82,95.82,8268227,95.82
SQ,2024-06-12,95.18,97.34,95.18,96.45,1318113,96.45
SQ,2024-06-13,95.59,101.86,95.59,101.23,2220691,101.23
SQ,2024-06-14,100.67,102.17,100.36,101.2,1351289,101.2
SQ,2024-06-17,101.19,104.95,101.19,104.11,5167565,104.11
SQ,2024-06-18,104.24,104.24,98.71,99.71,2536257,99.71
SQ,2024-06-19,100.57,100.57,97.85,98.25,1965608,98.25
SQ,2024-06-20,98.84,98.84,94.48,96.88,3986173,96.88
SQ,2024-06-21,97.45,99.15,97.11,97.91,1255342,97.91
SQ,2024-06-24,97.39,98.69,96.11,97.63,3134426,97.63
SQ,2024-06-25,98.9,99.21,97.8,98.7,3012004,98.7
SQ,2024-06-26,99.31,103.47,99.31,101.88,4712009,101.88
SQ,2024-06-27,102.15,103.37,102.15,102.56,1452561,102.56
SQ,2024-06-28,102.47,102.47,100.03,100.67,2062612,100.67
SQ,2024-07-01,100.58,101.46,99.54,101.12,765687,101.12
SQ,2024-07-02,101.51,101.51,99.86,100.71,2368527,100.71
SQ,2024-07-03,101.25,101.75,100.82,101.67,4912716,101.67
SQ,2024-07-04,100.75,100.75,98.14,99.04,1874149,99.04
SQ,2024-07-05,99.33,99.33,95.98,97.48,4587070,97.48
SQ,2024-07-08,97.32,97.32,94.7,94.86,4532375,94.86
SQ,2024-07-09,94.83,95.92,94.83,95.58,3035576,95.58
SQ,2024-07-10,95.96,96.21,93.67,94.77,2546749,94.77
SQ,2024-07-11,95.09,97.21,95.09,96.39,3038946,96.39
SQ,2024-07-12,95.81,95.81,94.1,94.24,2577245,94.24
SQ,2024-07-15,94.49,94.49,89.45,90.25,4242225,90.25
SQ,2024-07-16,89.42,90.72,89.42,90.48,1183074,90.48
SQ,2024-07-17,89.85,92.71,89.85,92.09,4312128,92.09
SQ,2024-07-18,92.64,92.64,88.67,89.5,4618291,89.5
SQ,2024-07-19,89.6,89.6,86.39,88.23,1958830,88.23
SQ,2024-07-22,88.7,92.33,88.7,91.29,673527,91.29
SQ,2024-07-23,92.09,92.09,89.58,90.11,2110851,90.11
SQ,2024-07-24,90.13,95.09,90.13,94.07,1506194,94.07
SQ,2024-07-25,93.82,94.1,92.25,93.23,2381511,93.23
SQ,2024-07-26,93.82,96.89,93.82,95.27,5376352,95.27
SQ,2024-07-29,95.25,97.25,95.25,96.24,2226410,96.24
SQ,2024-07-30,95.84,98.03,94.36,95.3,2755941,95.3
SQ,2024-07-31,95.45,97.34,94.81,96.31,6129484,96.31
SQ,2024-08-01,96.51,96.51,93.03,93.62,2718643,93.62
SQ,2024-08-02,94.0,94.0,92.44,92.57,2099153,92.57
SQ,2024-08-05,92.12,92.12,89.49,89.74,2529020,89.74
SQ,2024-08-06,89.28,89.28,87.31,87.71,2814141,87.71
SQ,2024-08-07,88.23,88.23,85.53,86.72,3713378,86.72
SQ,2024-08-08,86.48,87.74,86.48,87.3,2978924,87.3
SQ,2024-08-09,87.53,88.04,87.07,87.48,1115636,87.48
SQ,2024-08-12,87.68,87.68,84.82,85.62,1445564,85.62
SQ,2024-08-13,85.45,88.84,84.99,86.6,1621835,86.6
SQ,2024-08-14,86.32,86.32,83.01,83.8,889428,83.8
SQ,2024-08-15,83.81,85.47,83.81,85.21,4245017,85.21
SQ,2024-08-16,85.12,85.19,84.87,85.06,1692580,85.06
SQ,2024-08-19,86.02,86.02,82.93,83.8,1425918,83.8
SQ,2024-08-20,83.54,83.54,79.09,80.02,2405671,80.02
SQ,2024-08-21,79.85,81.66,78.71,80.5,2534934,80.5
SQ,2024-08-22,80.83,82.78,80.83,81.38,4786388,81.38
SQ,2024-08-23,81.17,83.25,81.17,82.12,2361967,82.12
SQ,2024-08-26,81.62,82.02,81.62,81.65,1613095,81.65
SQ,2024-08-27,81.81,82.29,81.81,82.26,3480844,82.26
SQ,2024-08-28,81.96,81.96,79.88,80.9,6875174,80.9
SQ,2024-08-29,81.3,82.2,81.3,81.92,1598777,81.92
SQ,2024-08-30,81.55,83.47,81.55,82.77,1559910,82.77
SQ,2024-09-02,82.97,82.97,80.97,82.46,15388878,82.46
SQ,2024-09-03,82.02,82.02,78.93,80.39,1338551,80.39
SQ,2024-09-04,80.03,80.1,78.49,79.05,2469500,79.05
SQ,2024-09-05,79.03,80.78,79.03,80.34,2651009,80.34
SQ,2024-09-06,80.5,83.38,80.5,82.08,3303341,82.08
SQ,2024-09-09,82.23,82.23,80.74,80.88,1008571,80.88
SQ,2024-09-10,81.09,81.14,80.69,80.74,2125790,80.74
SQ,2024-09-11,80.44,80.44,77.4,78.35,1326340,78.35
SQ,2024-09-12,78.58,80.53,78.58,79.93,2870575,79.93
SQ,2024-09-13,79.8,82.47,79.67,81.72,2404914,81.72
SQ,2024-09-16,82.32,84.55,82.32,83.44,5118963,83.44
SQ,2024-09-17,84.22,85.66,84.22,84.87,2061765,84.87
SQ,2024-09-18,84.75,84.75,82.41,83.08,4658502,83.08
SQ,2024-09-19,82.58,82.89,81.92,82.21,1886641,82.21
SQ,2024-09-20,81.23,81.23,79.2,80.05,5039231,80.05
SQ,2024-09-23,80.45,80.47,78.78,79.17,2901636,79.17
SQ,2024-09-24,79.15,79.15,75.79,77.19,2337348,77.19
SQ,2024-09-25,77.05,79.11,77.05,78.42,2259903,78.42
SQ,2024-09-26,78.34,82.06,78.34,82.04,1314398,82.04
SQ,2024-09-27,81.98,81.98,77.55,79.67,1821973,79.67
SQ,2024-09-30,79.99,82.79,79.99,82.46,2424558,82.46
SQ,2024-10-01,82.59,82.59,81.82,82.24,704500,82.24
SQ,2024-10-02,82.26,86.31,82.26,85.9,731449,85.9
SQ,2024-10-03,85.6,86.2,84.02,84.81,976180,84.81
SQ,2024-10-04,84.43,84.43,83.86,83.88,1990593,83.88
SQ,2024-10-07,83.37,83.37,79.12,80.22,3826648,80.22
SQ,2024-10-08,80.19,80.19,79.88,79.96,1837775,79.96
SQ,2024-10-09,79.76,79.76,78.14,79.2,4682334,79.2
SQ,2024-10-10,78.89,80.11,78.48,79.25,2097209,79.25
SQ,2024-10-11,78.91,80.16,78.91,79.98,1073329,79.98
SQ,2024-10-14,79.85,83.67,79.85,82.2,4835693,82.2
SQ,2024-10-15,83.07,83.07,81.05,81.58,1787787,81.58
SQ,2024-10-16,80.7,83.37,80.7,82.3,2042794,82.3
SQ,2024-10-17,81.96,81.96,79.42,79.84,3793661,79.84
SQ,2024-10-18,78.81,78.81,77.82,78.14,2676950,78.14
SQ,2024-10-21,77.64,77.64,75.47,75.71,5217365,75.71
