user_id,signup_date,acquisition_channel,days_to_first_transaction,ltv_90d,churned,churn_date,product_tier,monthly_revenue
UGR_00001,2025-04-15,referral,17,150.26,0,,free,0.0
UGR_00002,2025-12-01,referral,2,85.86,0,,free,0.0
UGR_00003,2024-11-10,paid_search,3,217.78,1,2025-01-22,premium,29.49
UGR_00004,2025-06-27,organic,25,89.71,1,2025-09-09,free,0.0
UGR_00005,2025-01-01,social,2,19.38,0,,free,0.0
UGR_00006,2025-01-15,organic,3,34.0,0,,free,0.0
UGR_00007,2025-10-24,organic,24,211.69,1,2025-12-17,free,0.0
UGR_00008,2025-08-26,organic,10,96.29,1,2025-09-24,basic,9.28
UGR_00009,2025-10-07,paid_search,1,43.59,0,,free,0.0
UGR_00010,2025-02-22,social,9,48.49,0,,free,0.0
UGR_00011,2024-10-26,referral,13,63.97,1,2024-11-19,premium,29.16
UGR_00012,2025-01-04,organic,22,21.41,0,,free,0.0
UGR_00013,2025-05-30,organic,28,36.43,0,,basic,9.39
UGR_00014,2025-02-19,referral,3,32.79,0,,basic,8.51
UGR_00015,2025-08-16,organic,6,69.83,0,,basic,9.66
UGR_00016,2024-10-07,email,23,52.55,0,,premium,30.01
UGR_00017,2025-10-14,social,10,27.44,0,,basic,8.81
UGR_00018,2025-09-01,paid_search,24,13.67,1,2025-11-12,basic,8.89
UGR_00019,2026-02-15,referral,9,78.4,0,,free,0.0
UGR_00020,2025-02-21,referral,0,65.02,0,,free,0.0
UGR_00021,2025-08-21,referral,3,39.84,1,2025-09-08,free,0.0
UGR_00022,2025-05-09,paid_search,25,69.14,0,,basic,8.53
UGR_00023,2026-02-15,organic,22,46.36,0,,free,0.0
UGR_00024,2025-01-24,referral,24,35.4,0,,basic,8.67
UGR_00025,2025-01-02,referral,1,163.28,0,,premium,30.8
UGR_00026,2026-01-21,organic,1,44.74,1,2026-04-19,free,0.0
UGR_00027,2025-06-17,social,2,26.17,0,,premium,28.01
UGR_00028,2025-08-08,email,12,29.32,0,,free,0.0
UGR_00029,2025-11-05,email,10,19.01,0,,basic,8.49
UGR_00030,2026-01-10,social,0,204.99,1,2026-04-07,basic,8.65
UGR_00031,2025-07-26,paid_search,10,78.85,0,,basic,9.37
UGR_00032,2025-09-30,social,26,37.65,0,,premium,29.06
UGR_00033,2025-08-16,organic,2,61.82,0,,free,0.0
UGR_00034,2025-09-03,email,14,20.52,0,,free,0.0
UGR_00035,2024-11-28,referral,5,17.25,0,,premium,30.68
UGR_00036,2025-03-17,email,17,69.65,0,,free,0.0
UGR_00037,2026-02-18,email,13,16.49,0,,basic,8.89
UGR_00038,2025-08-18,paid_search,29,74.44,0,,free,0.0
UGR_00039,2026-03-18,referral,2,69.36,0,,premium,28.06
UGR_00040,2024-10-16,paid_search,3,64.43,0,,free,0.0
UGR_00041,2024-11-26,social,9,15.04,1,2024-12-15,basic,9.78
UGR_00042,2025-10-28,paid_search,5,35.85,0,,basic,8.75
UGR_00043,2025-10-31,email,3,27.67,0,,free,0.0
UGR_00044,2025-05-08,organic,4,24.63,0,,basic,8.09
UGR_00045,2025-07-08,paid_search,6,43.86,0,,free,0.0
UGR_00046,2025-06-09,referral,2,30.72,0,,basic,8.83
UGR_00047,2025-10-23,referral,6,35.56,0,,basic,8.52
UGR_00048,2025-03-12,paid_search,2,49.49,0,,free,0.0
UGR_00049,2026-03-02,social,14,21.28,0,,free,0.0
UGR_00050,2025-06-20,referral,2,30.9,0,,free,0.0
UGR_00051,2025-03-01,social,3,73.5,0,,free,0.0
UGR_00052,2025-07-31,paid_search,2,185.4,1,2025-08-26,premium,30.85
UGR_00053,2025-01-24,organic,10,41.52,1,2025-04-08,premium,28.76
UGR_00054,2025-02-13,referral,0,116.45,0,,free,0.0
UGR_00055,2025-07-29,social,14,41.43,0,,free,0.0
UGR_00056,2025-10-01,organic,1,30.42,0,,basic,8.57
UGR_00057,2026-03-17,organic,3,25.52,0,,basic,8.96
UGR_00058,2024-12-11,social,2,20.55,0,,basic,9.14
UGR_00059,2026-02-19,paid_search,0,62.04,1,2026-04-11,basic,8.93
UGR_00060,2025-09-11,paid_search,28,64.37,1,2025-10-22,premium,26.79
UGR_00061,2026-01-16,paid_search,28,103.47,0,,premium,28.3
UGR_00062,2025-03-27,social,7,40.14,1,2025-04-10,free,0.0
UGR_00063,2025-07-16,organic,2,59.74,0,,free,0.0
UGR_00064,2025-01-24,referral,5,57.17,0,,basic,9.79
UGR_00065,2026-03-24,referral,14,217.86,0,,basic,9.72
UGR_00066,2025-11-01,referral,7,42.39,0,,basic,9.01
UGR_00067,2024-12-30,social,7,58.52,0,,free,0.0
UGR_00068,2025-06-01,social,3,79.23,0,,basic,9.06
UGR_00069,2025-10-25,paid_search,3,17.25,0,,free,0.0
UGR_00070,2025-08-27,social,27,35.08,0,,free,0.0
UGR_00071,2025-07-18,email,30,26.09,0,,premium,27.36
UGR_00072,2025-05-25,referral,2,66.08,0,,free,0.0
UGR_00073,2026-03-09,referral,14,14.68,0,,free,0.0
UGR_00074,2025-04-06,referral,12,41.52,0,,free,0.0
UGR_00075,2024-12-21,paid_search,2,71.56,0,,free,0.0
UGR_00076,2025-11-29,organic,2,135.56,1,2026-01-19,basic,9.3
UGR_00077,2025-11-02,organic,2,13.78,0,,free,0.0
UGR_00078,2026-03-23,paid_search,16,63.56,0,,free,0.0
UGR_00079,2024-12-19,social,2,66.8,0,,free,0.0
UGR_00080,2025-05-07,paid_search,1,40.33,0,,premium,27.08
UGR_00081,2026-02-15,referral,1,26.5,0,,free,0.0
UGR_00082,2024-11-23,organic,3,54.36,0,,free,0.0
UGR_00083,2024-11-29,organic,0,32.72,0,,free,0.0
UGR_00084,2026-01-25,paid_search,2,83.83,0,,free,0.0
UGR_00085,2025-10-20,organic,9,84.28,0,,free,0.0
UGR_00086,2024-12-02,social,7,103.43,0,,basic,8.49
UGR_00087,2026-02-11,organic,0,17.24,0,,free,0.0
UGR_00088,2025-11-05,organic,0,134.37,0,,basic,9.09
UGR_00089,2025-02-14,organic,0,28.42,1,2025-05-07,basic,8.3
UGR_00090,2025-07-28,email,3,39.27,0,,free,0.0
UGR_00091,2026-02-24,organic,13,88.03,0,,premium,29.59
UGR_00092,2024-10-18,paid_search,18,70.32,0,,basic,9.48
UGR_00093,2025-12-08,social,2,83.03,0,,basic,8.85
UGR_00094,2024-09-30,organic,2,30.91,1,2024-10-29,basic,9.34
UGR_00095,2026-02-01,paid_search,1,155.91,0,,free,0.0
UGR_00096,2025-06-04,social,0,61.59,0,,premium,26.72
UGR_00097,2025-09-14,paid_search,11,30.16,0,,basic,8.81
UGR_00098,2024-11-27,organic,9,27.71,0,,free,0.0
UGR_00099,2024-12-28,paid_search,11,112.21,1,2025-01-31,free,0.0
UGR_00100,2025-03-30,paid_search,1,93.67,0,,free,0.0
UGR_00101,2025-06-12,paid_search,14,150.48,0,,premium,29.68
UGR_00102,2025-02-12,paid_search,1,66.72,0,,free,0.0
UGR_00103,2025-05-13,paid_search,2,42.34,0,,basic,8.44
UGR_00104,2026-03-22,paid_search,1,32.71,0,,free,0.0
UGR_00105,2025-01-17,paid_search,9,29.87,1,2025-03-22,free,0.0
UGR_00106,2026-02-26,organic,4,117.55,0,,premium,30.52
UGR_00107,2025-02-21,referral,10,203.4,0,,free,0.0
UGR_00108,2025-05-21,referral,2,45.66,0,,basic,8.42
UGR_00109,2024-12-10,paid_search,3,38.86,0,,free,0.0
UGR_00110,2026-01-22,organic,1,58.72,0,,basic,9.19
UGR_00111,2025-06-13,organic,3,24.68,0,,basic,9.0
UGR_00112,2025-11-06,social,4,26.4,0,,free,0.0
UGR_00113,2025-12-25,organic,0,151.56,0,,free,0.0
UGR_00114,2025-05-18,social,9,29.67,0,,premium,30.34
UGR_00115,2025-12-09,referral,0,51.89,0,,basic,8.44
UGR_00116,2025-11-16,referral,18,83.5,0,,basic,8.61
UGR_00117,2026-01-06,organic,0,166.39,1,2026-02-12,free,0.0
UGR_00118,2025-05-07,organic,2,75.91,1,2025-07-16,basic,9.66
UGR_00119,2024-10-21,paid_search,4,29.23,1,2025-01-05,basic,9.46
UGR_00120,2025-09-10,referral,7,126.87,0,,premium,28.58
UGR_00121,2025-05-29,organic,10,30.41,0,,basic,9.01
UGR_00122,2026-02-17,referral,14,163.27,1,2026-03-03,free,0.0
UGR_00123,2025-08-15,paid_search,3,96.11,0,,premium,29.87
UGR_00124,2025-11-25,organic,0,74.47,0,,free,0.0
UGR_00125,2025-05-18,referral,3,27.27,0,,basic,8.7
UGR_00126,2025-11-12,email,1,92.37,0,,free,0.0
UGR_00127,2024-11-11,social,29,41.35,0,,premium,29.06
UGR_00128,2025-11-12,paid_search,28,15.75,1,2026-01-28,free,0.0
UGR_00129,2025-04-18,organic,2,161.34,0,,free,0.0
UGR_00130,2025-03-02,organic,5,32.42,0,,basic,8.94
UGR_00131,2025-11-29,paid_search,1,19.33,0,,basic,8.72
